user_id,email,gender,age,country,credit_card,membership,register_date,last_updated
u1001,u1001@gmail.com,F,42,China,TRUE,FALSE,39:00.0,59:41.7
u1002,u1002@gmail.com,F,42,China,TRUE,FALSE,26:00.0,59:41.7
u1003,u1003@gmail.com,F,43,U.S.A,FALSE,FALSE,57:00.0,59:41.8
u1004,u1004@gmail.com,F,42,China,TRUE,FALSE,51:00.0,59:41.8
u1005,u1005@gmail.com,F,14,Saudi,TRUE,FALSE,47:00.0,59:41.8
u1006,u1006@gmail.com,F,34,Saudi,FALSE,FALSE,27:00.0,59:41.8
u1007,u1007@gmail.com,F,34,Vietnam,TRUE,FALSE,40:00.0,59:41.8
u1008,u1008@gmail.com,F,10,China,FALSE,FALSE,50:00.0,59:41.8
u1009,u1009@gmail.com,F,31,U.S.A,FALSE,FALSE,50:00.0,59:41.8
u1010,u1010@gmail.com,F,30,HongKong/HK,TRUE,FALSE,47:00.0,59:41.8
u1011,u1011@gmail.com,M,31,China,TRUE,TRUE,35:00.0,59:41.8
u1012,u1012@gmail.com,F,36,China,FALSE,TRUE,43:00.0,59:41.8
u1013,u1013@gmail.com,F,18,U.S.A,FALSE,FALSE,52:00.0,59:41.8
u1014,u1014@gmail.com,F,50,Saudi,TRUE,FALSE,48:00.0,59:41.8
u1015,u1015@gmail.com,F,48,HongKong/HK,TRUE,FALSE,22:00.0,59:41.8
u1016,u1016@gmail.com,F,50,U.S.A,FALSE,FALSE,33:00.0,59:41.8
u1017,u1017@gmail.com,F,47,China,TRUE,FALSE,20:00.0,59:41.8
u1018,u1018@gmail.com,F,37,China,TRUE,TRUE,38:00.0,59:41.8
u1019,u1019@gmail.com,F,57,Iran/Qatar,TRUE,FALSE,49:00.0,59:41.8
u1020,u1020@gmail.com,F,40,U.S.A,TRUE,FALSE,52:00.0,59:41.8
u1021,u1021@gmail.com,F,37,China,TRUE,FALSE,38:00.0,59:41.8
u1022,u1022@gmail.com,F,30,Saudi,FALSE,FALSE,19:00.0,59:41.8
u1023,u1023@gmail.com,F,55,U.S.A,TRUE,FALSE,18:00.0,59:41.9
u1024,u1024@gmail.com,F,49,China,FALSE,FALSE,55:00.0,59:41.9
u1025,u1025@gmail.com,F,39,Saudi,TRUE,FALSE,41:00.0,59:41.9
u1026,u1026@gmail.com,F,56,China,TRUE,FALSE,43:00.0,59:41.9
u1027,u1027@gmail.com,F,31,U.S.A,TRUE,FALSE,28:00.0,59:41.9
u1028,u1028@gmail.com,F,47,China,FALSE,FALSE,42:00.0,59:41.9
u1029,u1029@gmail.com,F,48,Saudi,TRUE,FALSE,29:00.0,59:41.9
u1030,u1030@gmail.com,F,49,China,TRUE,FALSE,58:00.0,59:41.9
u1031,u1031@gmail.com,F,29,China,TRUE,FALSE,44:00.0,59:41.9
u1032,u1032@gmail.com,F,45,HongKong/HK,FALSE,TRUE,13:00.0,59:41.9
u1033,u1033@gmail.com,F,34,HongKong/HK,TRUE,FALSE,22:00.0,59:41.9
u1034,u1034@gmail.com,F,53,China,TRUE,FALSE,42:00.0,59:41.9
u1035,u1035@gmail.com,F,31,Saudi,TRUE,FALSE,54:00.0,59:41.9
u1036,u1036@gmail.com,F,61,China,TRUE,TRUE,51:00.0,59:41.9
u1037,u1037@gmail.com,F,55,China,TRUE,FALSE,22:00.0,59:41.9
u1038,u1038@gmail.com,F,46,U.S.A,TRUE,FALSE,25:00.0,59:41.9
u1039,u1039@gmail.com,F,29,Saudi,FALSE,FALSE,23:00.0,59:41.9
u1040,u1040@gmail.com,F,39,HongKong/HK,TRUE,TRUE,38:00.0,59:42.0
u1041,u1041@gmail.com,F,31,U.S.A,TRUE,TRUE,23:00.0,59:42.0
u1042,u1042@gmail.com,F,44,China,FALSE,FALSE,42:00.0,59:42.0
u1043,u1043@gmail.com,F,43,Iran/Qatar,FALSE,FALSE,35:00.0,59:42.0
u1044,u1044@gmail.com,F,37,HongKong/HK,FALSE,FALSE,40:00.0,59:42.0
u1045,u1045@gmail.com,F,42,Saudi,TRUE,FALSE,37:00.0,59:42.0
u1046,u1046@gmail.com,F,34,China,TRUE,FALSE,54:00.0,59:42.0
u1047,u1047@gmail.com,F,45,Vietnam,TRUE,FALSE,38:00.0,59:42.0
u1048,u1048@gmail.com,F,42,U.S.A,FALSE,TRUE,57:00.0,59:42.0
u1049,u1049@gmail.com,F,23,Iran/Qatar,FALSE,FALSE,49:00.0,59:42.0
u1050,u1050@gmail.com,F,31,U.S.A,FALSE,FALSE,23:00.0,59:42.0
u1051,u1051@gmail.com,F,44,U.S.A,TRUE,FALSE,33:00.0,59:42.0
u1052,u1052@gmail.com,F,37,China,TRUE,FALSE,46:00.0,59:42.0
u1053,u1053@gmail.com,F,54,China,FALSE,FALSE,46:00.0,59:42.0
u1054,u1054@gmail.com,F,28,China,TRUE,FALSE,59:00.0,59:42.0
u1055,u1055@gmail.com,F,32,Saudi,TRUE,FALSE,35:00.0,59:42.0
u1056,u1056@gmail.com,F,51,Vietnam,TRUE,FALSE,53:00.0,59:42.0
u1057,u1057@gmail.com,F,58,HongKong/HK,TRUE,FALSE,22:00.0,59:42.0
u1058,u1058@gmail.com,F,30,China,TRUE,FALSE,24:00.0,59:42.0
u1059,u1059@gmail.com,F,41,U.S.A,FALSE,TRUE,33:00.0,59:42.0
u1060,u1060@gmail.com,F,28,China,TRUE,FALSE,40:00.0,59:42.0
u1061,u1061@gmail.com,F,52,U.S.A,FALSE,FALSE,14:00.0,59:42.1
u1062,u1062@gmail.com,F,29,U.S.A,FALSE,FALSE,14:00.0,59:42.1
u1063,u1063@gmail.com,F,32,Saudi,TRUE,FALSE,30:00.0,59:42.1
u1064,u1064@gmail.com,F,29,U.S.A,TRUE,FALSE,34:00.0,59:42.1
u1065,u1065@gmail.com,F,43,China,FALSE,FALSE,44:00.0,59:42.1
u1066,u1066@gmail.com,F,44,U.S.A,TRUE,FALSE,16:00.0,59:42.1
u1067,u1067@gmail.com,F,50,HongKong/HK,FALSE,FALSE,40:00.0,59:42.1
u1068,u1068@gmail.com,F,36,Vietnam,TRUE,FALSE,46:00.0,59:42.1
u1069,u1069@gmail.com,F,45,China,FALSE,FALSE,23:00.0,59:42.1
u1070,u1070@gmail.com,F,43,U.S.A,TRUE,FALSE,34:00.0,59:42.1
u1071,u1071@gmail.com,F,52,HongKong/HK,TRUE,TRUE,56:00.0,59:42.1
u1072,u1072@gmail.com,F,44,Saudi,TRUE,FALSE,15:00.0,59:42.1
u1073,u1073@gmail.com,F,43,HongKong/HK,FALSE,FALSE,52:00.0,59:42.1
u1074,u1074@gmail.com,F,33,China,FALSE,TRUE,16:00.0,59:42.1
u1075,u1075@gmail.com,F,28,China,TRUE,FALSE,58:00.0,59:42.1
u1076,u1076@gmail.com,F,45,China,TRUE,TRUE,18:00.0,59:42.1
u1077,u1077@gmail.com,F,47,U.S.A,TRUE,FALSE,18:00.0,59:42.1
u1078,u1078@gmail.com,F,45,HongKong/HK,FALSE,FALSE,32:00.0,59:42.1
u1079,u1079@gmail.com,F,35,Saudi,FALSE,FALSE,32:00.0,59:42.2
u1080,u1080@gmail.com,M,31,China,FALSE,FALSE,25:00.0,59:42.2
u1081,u1081@gmail.com,F,52,U.S.A,TRUE,FALSE,35:00.0,59:42.2
u1082,u1082@gmail.com,F,67,U.S.A,TRUE,FALSE,34:00.0,59:42.2
u1083,u1083@gmail.com,F,34,Vietnam,FALSE,FALSE,32:00.0,59:42.2
u1084,u1084@gmail.com,F,39,U.S.A,TRUE,FALSE,30:00.0,59:42.2
u1085,u1085@gmail.com,F,41,Vietnam,TRUE,FALSE,51:00.0,59:42.2
u1086,u1086@gmail.com,F,52,Vietnam,TRUE,FALSE,58:00.0,59:42.2
u1087,u1087@gmail.com,F,41,U.S.A,TRUE,FALSE,31:00.0,59:42.2
u1088,u1088@gmail.com,F,32,HongKong/HK,TRUE,FALSE,45:00.0,59:42.2
u1089,u1089@gmail.com,F,41,U.S.A,FALSE,FALSE,48:00.0,59:42.2
u1090,u1090@gmail.com,F,44,Saudi,TRUE,FALSE,20:00.0,59:42.2
u1091,u1091@gmail.com,F,45,China,FALSE,FALSE,43:00.0,59:42.2
